smk_id,smk_latitude,smk_longitude,wof_id,wof_parentid,wof_name,wof_placetype
977,56.89494804286576,9.228131581614667,1159297741,85682593,Vesthimmerland,localadmin
977,56.89494804286576,9.228131581614667,85633121,102191581,Denmark,country
1001,57.33655766538845,9.773768256622315,85682593,85633121,North Jutland,region
1001,57.33655766538845,9.773768256622315,85633121,102191581,Denmark,country
1001,57.33655766538845,9.773768256622315,1394014153,85682593,Hjorring,localadmin
1001,57.33655766538845,9.773768256622315,1159297775,85682593,Ringsted,localadmin
1000,57.336063097030404,9.773317645507813,85682593,85633121,North Jutland,region
1000,57.336063097030404,9.773317645507813,85633121,102191581,Denmark,country
1000,57.336063097030404,9.773317645507813,1394014153,85682593,Hjorring,localadmin
1000,57.336063097030404,9.773317645507813,1159297775,85682593,Ringsted,localadmin
995,57.33613258255683,9.772867034393311,85633121,102191581,Denmark,country
995,57.33613258255683,9.772867034393311,85682593,85633121,North Jutland,region
995,57.33613258255683,9.772867034393311,1394014153,85682593,Hjorring,localadmin
995,57.33613258255683,9.772867034393311,1159297775,85682593,Ringsted,localadmin
996,57.33609638083176,9.772416423278809,1394014153,85682593,Hjorring,localadmin
996,57.33609638083176,9.772416423278809,85682593,85633121,North Jutland,region
996,57.33609638083176,9.772416423278809,85633121,102191581,Denmark,country
996,57.33609638083176,9.772416423278809,1159297775,85682593,Ringsted,localadmin
998,57.33675000635744,9.772502253967286,1394014153,85682593,Hjorring,localadmin
998,57.33675000635744,9.772502253967286,85633121,102191581,Denmark,country
998,57.33675000635744,9.772502253967286,85682593,85633121,North Jutland,region
998,57.33675000635744,9.772502253967286,1159297775,85682593,Ringsted,localadmin
999,57.33674490671217,9.773038695770264,85682593,85633121,North Jutland,region
999,57.33674490671217,9.773038695770264,85633121,102191581,Denmark,country
999,57.33674490671217,9.773038695770264,1394014153,85682593,Hjorring,localadmin
999,57.33674490671217,9.773038695770264,1159297775,85682593,Ringsted,localadmin
997,57.33663419902036,9.77314598413086,85682593,85633121,North Jutland,region
997,57.33663419902036,9.77314598413086,85633121,102191581,Denmark,country
997,57.33663419902036,9.77314598413086,1394014153,85682593,Hjorring,localadmin
997,57.33663419902036,9.77314598413086,1159297775,85682593,Ringsted,localadmin
987,56.67028412646541,9.487185911639404,85682597,85633121,Central Jutland,region
987,56.67028412646541,9.487185911639404,85633121,102191581,Denmark,country
987,56.67028412646541,9.487185911639404,1159297825,85682597,Hoje-Taastrup,localadmin
987,56.67028412646541,9.487185911639404,1394014051,85682597,Viborg,localadmin
988,56.67031056612766,9.487185911639404,85682597,85633121,Central Jutland,region
988,56.67031056612766,9.487185911639404,85633121,102191581,Denmark,country
988,56.67031056612766,9.487185911639404,1394014051,85682597,Viborg,localadmin
